price,rooms,baths,square_feet,address
"$1,099,000",6 beds,6 beds,"2,790","1664 Cornelia St Unit Entire Building, New York, NY 11385"
"$1,099,000",6 beds,6 beds,"1,604","16-64 Cornelia St, Ridgewood, NY 11385"
"$828,000",3 beds,3 beds,"2,790","9 Van Nostrand, Little Neck, NY 11362"
"$5,850,000",4 beds,4 beds,"1,604","322 W 57th St Unit 54-T, New York, NY 10019"
"$4,300,000",4 beds,4 beds,"1,152","475 Park Ave Unit 10A, New York, NY 10022"
"$9,995,000",4 beds,4 beds,"1,900","15 W 63rd St Unit 23B, New York, NY 10023"
"$18,000,000",3 beds,3 beds,"3,417","555 W End Ave Unit The Solarium, New York, NY 10024"
"$9,900,000",5 beds,5 beds,—,"555 W End Ave Unit The library, New York, NY 10024"
"$370,000",2 beds,2 beds,0.24,"21-77 33rd St Unit 5-E, New York, NY 11105"
"$699,000",2 beds,2 beds,"2,907","27 E 65th St Unit 6D, New York, NY 10065"
"$1,485,000",2 beds,2 beds,"7,301","441 E 57th St #2, New York, NY 10022"
"$1,950,000",2 beds,2 beds,"3,420","29 E 64th St Unit 7C, New York, NY 10065"
"$849,000",7 beds,7 beds,"8,071","927 E 96th St, Canarsie, NY 11236"
"$749,000",2 beds,2 beds,"3,463","2025 Ocean Ave Unit 4A, Brooklyn, NY 11230"
"$3,210,000",2 beds,2 beds,"8,071","1 Wall St #1011, New York, NY 10005"
"$574,999",4 beds,4 beds,—,"2073 Bathgate Ave, Bronx, NY 10457"
"$399,000",3 beds,3 beds,—,"2550 Olinville Ave Unit 10C, Bronx, NY 10467"
"$670,000",3 beds,3 beds,"1,645","521 Amherst Ave, Staten Island, NY 10306"
"$2,115,000",1 bed,1 bed,"2,008","1 Wall St #622, New York, NY 10005"
"$2,280,000",2 beds,2 beds,—,"1761 76 St, Brooklyn, NY 11214"
"$938,000",4 beds,4 beds,0.25,"56-44 187th St, Fresh Meadows, NY 11365"
"$535,000",4 beds,4 beds,—,"6-43 Beach 65th St, Far Rockaway, NY 11692"
"$1,100,000",11 beds,11 beds,"1,979","781 E 211 St, Bronx, NY 10467"
"$1,150,000",4 beds,4 beds,—,"65-20 Seaspray Ave, Arverne, NY 11692"
"$268,000",0 beds,0 beds,"1,320","34-43 60 St Unit 6B, Woodside, NY 11377"
"$408,000",2 beds,2 beds,"1,344","69-02 136th St Unit B, Flushing, NY 11367"
"$1,199,000",5 beds,5 beds,"1,934","133-20 118th St, South Ozone Park, NY 11420"
"$558,000",2 beds,2 beds,"1,100","34-40 79th St Unit 6A, New York, NY 11372"
"$299,000",1 bed,1 bed,"1,216","930 E 7th St Unit 5D, Brooklyn, NY 11230"
"$360,000",0 beds,0 beds,"2,499","5 Tudor City Pl #1206, New York, NY 10017"
"$898,000",3 beds,3 beds,"1,061","65-36 79th Pl, Middle Village, NY 11379"
"$1,049,000",3 beds,3 beds,—,"86-14 248th St, Bellerose, NY 11426"
"$725,000",1 bed,1 bed,"2,500","315 E 68th St Unit 12C, New York, NY 10065"
"$560,000",0 beds,0 beds,—,"225 E 46th St Unit 4K, New York, NY 10017"
"$799,000",2 beds,2 beds,"4,000","35-08 146th St Unit 11B, Flushing, NY 11354"
"$459,000",1 bed,1 bed,—,"2650 Coney Island Ave Unit 12F, Brooklyn, NY 11235"
"$169,000",1 bed,1 bed,"2,750","151-25 88 St Unit 4G, Howard Beach, NY 11414"
"$1,650,000",8 beds,8 beds,"3,877","24-90 65th St, Bensonhurst, NY 11204"
"$1,795,000",3 beds,3 beds,—,"517 W 46th St #101, New York, NY 10036"
"$435,000",1 bed,1 bed,"5,319","135 W 89th St #3, New York, NY 10124"
"$349,900",2 beds,2 beds,766,"74-02 260th St Unit G-2, Glen Oaks, NY 11004"
"$1,300,000",1 bed,1 bed,"2,746","1701 Elm Ave, Brooklyn, NY 11230"
"$699,000",2 beds,2 beds,"3,380","7620 Bay Pkwy Unit 5A, Brooklyn, NY 11214"
"$1,350,000",5 beds,5 beds,"1,000","1736 E 17th St, Brooklyn, NY 11229"
"$648,000",1 bed,1 bed,"2,760","80 Bay St Unit 4-K, New York, NY 10301"
"$1,041,300",1 bed,1 bed,"3,600","135 E 47th St Unit 7C, New York, NY 10017"
"$759,000",3 beds,3 beds,"1,307","Undisclosed address, Floral Park, NY 11001"
"$499,000",2 beds,2 beds,529,"1206 E 82nd St #122, Brooklyn, NY 11234"
"$1,300,000",6 beds,6 beds,"1,310","106-02 32nd Ave, East Elmhurst, NY 11369"
"$636,900",0 beds,0 beds,"3,325","372 Central Park W Unit 6S, New York, NY 10025"
"$1,525,000",2 beds,2 beds,931,"330 E 38th St Unit 6E, New York, NY 10016"
"$995,000",1 bed,1 bed,—,"400 Central Park W Unit 2X, New York, NY 10025"
"$1,950,000",2 beds,2 beds,"3,109","210 Warren St Unit 21C, New York, NY 10282"
"$765,000",3 beds,3 beds,579,"2732 Morgan Ave, Bronx, NY 10469"
"$1,998,000",5 beds,5 beds,"1,171","91 Chauncey St, Stuyvesant Heights, NY 11233"
