price,rooms,baths,square_feet,address
"$297,000",3 beds,3 beds,"1,769","2720 NW 168th St, Edmond, OK 73012"
"$180,000",3 beds,3 beds,"7,131","3025 NW 28th St, Oklahoma City, OK 73107"
"$285,000",3 beds,3 beds,"2,347","5804 NW 103rd Pl, Oklahoma City, OK 73162"
"$299,900",3 beds,3 beds,"7,000","6609 SE 85th St, Oklahoma City, OK 73135"
"$279,900",3 beds,3 beds,"1,846","6316 SE 88th St, Oklahoma City, OK 73135"
"$459,000",3 beds,3 beds,"7,148","13200 N Eastern Ave, Oklahoma City, OK 73131"
"$380,000",4 beds,4 beds,"1,496","9300 NW 141st St, Yukon, OK 73099"
"$316,500",3 beds,3 beds,"5,750","9304 NW 141st St, Yukon, OK 73099"
"$336,500",4 beds,4 beds,"1,295","9308 NW 141st St, Yukon, OK 73099"
"$332,500",3 beds,3 beds,"6,486","9312 NW 141st St, Yukon, OK 73099"
"$315,000",3 beds,3 beds,"2,676","9316 NW 141st St, Yukon, OK 73099"
"$331,000",3 beds,3 beds,0.91,"9320 NW 141st St, Yukon, OK 73099"
"$340,000",4 beds,4 beds,"2,030","9324 NW 141st St, Yukon, OK 73099"
"$351,000",3 beds,3 beds,0.23,"9325 NW 141st St, Yukon, OK 73099"
"$344,000",3 beds,3 beds,"1,543","9321 NW 141st St, Yukon, OK 73099"
"$335,000",3 beds,3 beds,"6,120","9317 NW 141st St, Yukon, OK 73099"
"$351,000",3 beds,3 beds,"1,701","9313 NW 141st St, Yukon, OK 73099"
"$316,500",3 beds,3 beds,"6,120","9309 NW 141st St, Yukon, OK 73099"
"$303,000",3 beds,3 beds,"1,689","9200 NW 71st St, Yukon, OK 73099"
"$300,000",3 beds,3 beds,"6,120","408 Nathan Way, Yukon, OK 73099"
"$335,000",3 beds,3 beds,"1,543","9305 NW 141st St, Yukon, OK 73099"
"$4,500,000",12 beds,12 beds,"6,120","631 W California Ave, Oklahoma City, OK 73102"
"$275,000",5 beds,5 beds,"1,689","2720 N Douglas Blvd, Oklahoma City, OK 73141"
"$380,000",3 beds,3 beds,"6,120","9301 NW 141st St, Yukon, OK 73099"
"$335,000",4 beds,4 beds,"1,701","2521 NW 116th St, Oklahoma City, OK 73120"
"$60,000",2 beds,2 beds,"6,887","7 SE 31st St, Oklahoma City, OK 73129"
"$229,502",3 beds,3 beds,"1,875","9516 Stallion Dr, Yukon, OK 73099"
"$229,502",3 beds,3 beds,"6,813","9512 Stallion Dr, Yukon, OK 73099"
"$344,999",3 beds,3 beds,"1,806","2836 Wild Rose Ln, Yukon, OK 73099"
"$220,235",3 beds,3 beds,"6,813","9508 Stallion Dr, Yukon, OK 73099"
"$230,000",3 beds,3 beds,"1,722","8129 NW 89 St, Oklahoma City, OK 73132"
"$238,363",4 beds,4 beds,"6,769","9504 Stallion Dr, Yukon, OK 73099"
"$233,502",3 beds,3 beds,"1,875","9500 Stallion Dr, Yukon, OK 73099"
"$227,502",3 beds,3 beds,"6,813","11800 NW 94 St, Yukon, OK 73099"
"$228,502",3 beds,3 beds,"1,556","11804 NW 94 St, Yukon, OK 73099"
"$385,000",4 beds,4 beds,"6,813","10820 Wild Horse Creek Dr, Yukon, OK 73099"
"$280,000",3 beds,3 beds,"1,735","3012 NW 181st St, Edmond, OK 73012"
"$496,000",3 beds,3 beds,"5,846","12712 Bristlecone Pine Blvd, Oklahoma City, OK 73142"
"$750,000",2 beds,2 beds,"2,092","6324 Harden Dr, Oklahoma City, OK 73118"
"$105,000",3 beds,3 beds,"5,528","2232 SW 25 St, Oklahoma City, OK 73108"
"$229,000",4 beds,4 beds,"2,005","7313 NW 120th St, Oklahoma City, OK 73162"
"$269,900",3 beds,3 beds,"8,250","801 SW 161st St, Oklahoma City, OK 73170"
"$365,000",4 beds,4 beds,"1,665","17424 Hawks Tree Ln, Edmond, OK 73012"
"$415,000",4 beds,4 beds,"6,970","10721 Coeur Ct, Yukon, OK 73099"
"$350,000",2 beds,2 beds,"2,134","627 Couch Drive Dr Unit S10, Oklahoma City, OK 73102"
"$475,000",4 beds,4 beds,"9,374","9328 SW 28th St, Oklahoma City, OK 73128"
"$389,900",4 beds,4 beds,"2,230","11309 NW 94th St, Yukon, OK 73099"
"$219,702",3 beds,3 beds,"9,278","9448 NW 115th St, Yukon, OK 73099"
"$218,502",3 beds,3 beds,"1,421","9453 NW 115th St, Yukon, OK 73099"
"$237,200",4 beds,4 beds,"3,700","9461 NW 115th St, Yukon, OK 73099"
"$231,363",4 beds,4 beds,0.24,"9456 NW 115th St, Yukon, OK 73099"
"$223,339",3 beds,3 beds,"2,939","9465 NW 115th St, Yukon, OK 73099"
