price,rooms,baths,square_feet,address
"$320,000",5 beds,5 beds,"2,259","814 S 50th Ave, Omaha, NE 68106"
"$235,000",2 beds,2 beds,"6,970","10359 Sprague St, Omaha, NE 68134"
"$225,000",3 beds,3 beds,"1,870","5605 S 15th St, Omaha, NE 68107"
"$1,325,000",5 beds,5 beds,"3,920","3320 N 134 Cir, Omaha, NE 68164"
"$148,711",2 beds,2 beds,"1,684","4018 Wirt St, Omaha, NE 68111"
"$375,000",4 beds,4 beds,"4,792","6440 N 150 St, Omaha, NE 68116"
"$309,900",3 beds,3 beds,"6,592","10424 Grover St, Omaha, NE 68124"
"$599,000",4 beds,4 beds,0.46,"19010 Pierce Plz, Omaha, NE 68130"
"$227,500",3 beds,3 beds,"1,386","9419 Meredith Ave, Omaha, NE 68134"
"$375,000",4 beds,4 beds,"4,792","8114 King St, Omaha, NE 68122"
"$425,000",3 beds,3 beds,"2,318","19869 I St, Omaha, NE 68135-0000"
"$300,000",3 beds,3 beds,"8,500","9752 Cady Ave, Omaha, NE 68134"
"$450,000",2 beds,2 beds,"1,944","10205 S 180 Avenue Circle, Omaha, NE 68136"
"$425,000",3 beds,3 beds,0.29,"10201 S 180 Avenue Circle, Omaha, NE 68136"
"$500,000",6 beds,6 beds,"3,191","19821 Douglas Cir, Omaha, NE 68022"
"$320,000",4 beds,4 beds,0.28,"13768 Briggs Cir, Omaha, NE 68144"
"$269,500",3 beds,3 beds,"1,218","6237 S 39th St, Omaha, NE 68107-0000"
"$732,483",5 beds,5 beds,"7,405","19061 Laquinta Cir, Gretna, NE 68136"
"$710,550",5 beds,5 beds,"2,285","19054 Camelback Avenue Circle, Gretna, NE 68136"
"$575,000",4 beds,4 beds,"6,970","132 N 39 St, Omaha, NE 68131-0000"
"$350,000",4 beds,4 beds,"3,405","4574 Washington Ave, Omaha, NE 68152"
"$1,625,000",6 beds,6 beds,"8,712","2133 S 191 St, Omaha, NE 68130"
"$225,000",3 beds,3 beds,"1,707","4118 S St, Omaha, NE 68107"
"$268,500",1 bed,1 bed,"9,583","200 S 31st Ave #4515, Omaha, NE 68131"
"$215,000",2 beds,2 beds,"1,637","5015 Spencer St, Omaha, NE 68104"
"$529,000",4 beds,4 beds,"8,668","5901 N 159 Cir, Omaha, NE 68116"
"$250,000",3 beds,3 beds,"1,913","2956 Martha St, Omaha, NE 68105"
"$250,000",4 beds,4 beds,"8,494","4116 M St, Omaha, NE 68107"
"$448,500",5 beds,5 beds,"3,777","15914 Timberlane Dr, Omaha, NE 68136"
"$294,999",3 beds,3 beds,0.27,"12622 Lillian St, Omaha, NE 68138"
"$181,500",3 beds,3 beds,"2,974","7208 Minne Lusa Blvd, Omaha, NE 68112-2808"
"$150,000",3 beds,3 beds,0.30,"4531 Saratoga St, Omaha, NE 68104"
"$175,000",3 beds,3 beds,"1,723","4747 N 15th St, Omaha, NE 68110"
"$165,000",2 beds,2 beds,"7,700","5311 N 16th St, Omaha, NE 68110"
"$17,500",3 beds,3 beds,"3,215","12624 Aurora Plz #279, Omaha, NE 68164"
"$235,000",3 beds,3 beds,"9,583","15229 Douglas Cir, Omaha, NE 68154"
"$389,900",3 beds,3 beds,"3,297","3301 N 206th St, Omaha, NE 68022"
"$569,900",4 beds,4 beds,0.44,"19417 Marinda St, Omaha, NE 68130"
"$349,999",4 beds,4 beds,"2,880","4633 N 126th St, Omaha, NE 68164"
"$264,900",3 beds,3 beds,"7,405","2703 N 75th St, Omaha, NE 68134"
"$245,000",4 beds,4 beds,"1,054","2312 S 7th St, Omaha, NE 68108"
"$225,000",3 beds,3 beds,"6,800","2489 N 47 Ave, Omaha, NE 68104"
"$335,000",3 beds,3 beds,"1,303","16310 Timberlane Dr, Omaha, NE 68136"
"$537,777",5 beds,5 beds,"6,098","2132 S 192nd Ave, Omaha, NE 68130"
"$239,950",3 beds,3 beds,"2,307","16404 Riggs St, Omaha, NE 68135"
"$925,000",5 beds,5 beds,0.30,"16502 L St, Omaha, NE 68135"
"$315,000",4 beds,4 beds,"3,106","7306 Hascall St, Omaha, NE 68124"
"$599,000",3 beds,3 beds,0.25,"1316 S 193rd St, Omaha, NE 68130"
"$379,711",4 beds,4 beds,"1,274","3042 S 108th St, Omaha, NE 68144"
"$265,000",3 beds,3 beds,"7,405","7778 Potter St, Omaha, NE 68122"
"$210,000",2 beds,2 beds,"5,783","723 Pierce St, Omaha, NE 68108"
"$545,000",5 beds,5 beds,0.46,"18860 Alder Dr, Omaha, NE 68136"
"$135,000",1 bed,1 bed,"2,013","101 N 69 St #27, Omaha, NE 68132"
"$710,000",4 beds,4 beds,"9,583","1417 S 200th Avenue Circle, Omaha, NE 68130"
