price,rooms,baths,square_feet,address
"$545,000",2 beds,2 beds,"1,662","2417 Grays Ferry Ave, Philadelphia, PA 19146"
"$339,900",1 bed,1 bed,800,"1711 Green St Unit 1711C, Philadelphia, PA 19130"
"$224,900",4 beds,4 beds,800,"245 S 51st St, Philadelphia, PA 19139"
"$225,000",3 beds,3 beds,"1,920","5451 Webster St, Philadelphia, PA 19143"
"$629,000",4 beds,4 beds,"1,440","1133 E Montgomery Ave, Philadelphia, PA 19125"
"$229,900",3 beds,3 beds,"1,664","56 N Edgewood St, Philadelphia, PA 19139"
"$621,777",6 beds,6 beds,900,"2114 N 8th St, Philadelphia, PA 19122"
"$75,000",2 beds,2 beds,"1,966","2069 Scattergood St, Philadelphia, PA 19124"
"$150,000",2 beds,2 beds,821,"2311 S Bonsall St, Philadelphia, PA 19145"
"$275,000",1 bed,1 bed,"1,314","1238 Callowhill St #403, Philadelphia, PA 19123"
"$329,900",3 beds,3 beds,938,"1000 Loney St, Philadelphia, PA 19111"
"$625,000",2 beds,2 beds,"2,661","1414 S Penn Sq Unit 8H, Philadelphia, PA 19102"
"$245,000",2 beds,2 beds,942,"2147 Devereaux Ave, Philadelphia, PA 19149"
"$255,000",1 bed,1 bed,980,"5100 Convent Ln #320, Philadelphia, PA 19114"
"$175,000",3 beds,3 beds,893,"4652 Tacony St, Philadelphia, PA 19137"
"$245,000",3 beds,3 beds,770,"8667 Jackson St, Philadelphia, PA 19136"
"$209,900",1 bed,1 bed,921,"2101-17 Chestnut St #1512, Philadelphia, PA 19103"
"$139,000",2 beds,2 beds,"1,110","159 N 55th St, Philadelphia, PA 19139"
"$209,900",3 beds,3 beds,"1,386","5043 Gransback St, Philadelphia, PA 19120"
"$239,999",3 beds,3 beds,"3,506","2337 S Lee St, Philadelphia, PA 19148"
"$267,500",3 beds,3 beds,"1,467","1030 S 56th St, Philadelphia, PA 19143"
"$165,000",3 beds,3 beds,"1,208","4979 N 2nd St, Philadelphia, PA 19120"
"$294,900",4 beds,4 beds,"1,706","533 Mountain St, Philadelphia, PA 19148"
"$294,500",2 beds,2 beds,"1,441","2655 Braddock St, Philadelphia, PA 19125"
"$389,900",3 beds,3 beds,"1,056","6970 Weatham St, Philadelphia, PA 19119"
"$287,500",4 beds,4 beds,"1,511","8124 Temple Rd, Philadelphia, PA 19150"
"$99,500",3 beds,3 beds,"1,152","4815 N Marshall St, Philadelphia, PA 19120"
"$165,000",3 beds,3 beds,"2,628","5702 N Lambert St, Philadelphia, PA 19138"
"$1,400,000",5 beds,5 beds,538,"1601 S 2nd St, Philadelphia, PA 19148"
"$205,000",— beds,— beds,"1,632","2345 Nicholas St, Philadelphia, PA 19121"
"$125,000",3 beds,3 beds,"1,096","576 E Herman St, Philadelphia, PA 19144"
