price,rooms,baths,square_feet,address
"$375,000",3 beds,3 beds,"1,546","7008 S 77th Ln, Laveen, AZ 85339"
"$679,000",2 beds,2 beds,"5,752","1638 E Earll Dr, Phoenix, AZ 85016"
"$499,000",3 beds,3 beds,"2,258","6614 W Avenida Del Rey --, Phoenix, AZ 85083"
"$874,900",5 beds,5 beds,"4,368","4319 E Morning Vista Ln, Cave Creek, AZ 85331"
"$355,000",3 beds,3 beds,"1,730","3002 N 53rd Ave, Phoenix, AZ 85031"
"$724,900",4 beds,4 beds,"7,000","2819 E Quiet Hollow Ln, Phoenix, AZ 85024"
"$580,000",3 beds,3 beds,"3,352","1602 E Bluefield Ave, Phoenix, AZ 85022"
"$515,000",3 beds,3 beds,"7,447","26842 N 66th Ln, Phoenix, AZ 85083"
"$599,000",4 beds,4 beds,"1,380","2423 W Crimson Ter, Phoenix, AZ 85085"
"$879,000",4 beds,4 beds,"6,194","821 E Monte Way, Phoenix, AZ 85042"
"$569,900",6 beds,6 beds,"2,157","9307 W Bennet Plz, Phoenix, AZ 85037"
"$454,900",3 beds,3 beds,"7,273","18802 N 7th Pl, Phoenix, AZ 85024"
"$372,990",3 beds,3 beds,"2,013","9634 W Illini St, Tolleson, AZ 85353"
"$230,000",2 beds,2 beds,"8,929","2333 W Coolidge St, Phoenix, AZ 85015"
"$625,000",4 beds,4 beds,"1,845","31322 N 26th Dr, Phoenix, AZ 85085"
"$3,950,000",5 beds,5 beds,"6,261","5162 E Pasadena Ave, Phoenix, AZ 85018"
"$562,500",3 beds,3 beds,"2,162","1226 E Michelle Dr, Phoenix, AZ 85022"
"$1,995,000",3 beds,3 beds,"6,050","7180 E Kierland Blvd #1007, Scottsdale, AZ 85254"
"$413,900",3 beds,3 beds,"3,554","22032 N 32nd Ave, Phoenix, AZ 85027"
"$320,000",2 beds,2 beds,"5,750","1112 E Weldon Ave, Phoenix, AZ 85014"
"$675,000",4 beds,4 beds,"4,040","909 E Waltann Ln, Phoenix, AZ 85022"
"$845,000",— beds,— beds,"7,933","2013 N 49th St, Phoenix, AZ 85008"
"$785,000",— beds,— beds,"1,567","1426 E Mountain View Rd, Phoenix, AZ 85020"
"$359,000",3 beds,3 beds,"7,077","5417 S 7th Dr, Phoenix, AZ 85041"
"$329,000",3 beds,3 beds,"1,402","5601 N 33rd Ave, Phoenix, AZ 85017"
"$450,000",4 beds,4 beds,"5,370","7016 N 29th Ave, Phoenix, AZ 85051"
"$284,000",2 beds,2 beds,576,"3233 N 37th St #9, Phoenix, AZ 85018"
