price,rooms,baths,square_feet,address
"$729,900",4 beds,4 beds,"2,428","2530 NE 58th Ave, Portland, OR 97213"
"$359,900",1 bed,1 bed,"5,227","1248 N Watts St, Portland, OR 97217"
"$1,299,999",4 beds,4 beds,780,"3309 SW Stonebrook Dr, Portland, OR 97239"
"$400,000",3 beds,3 beds,"5,227","5930 SE 96th Ave, Portland, OR 97266"
"$595,000",5 beds,5 beds,"3,545","8515 N Richmond Ave, Portland, OR 97203"
"$975,000",3 beds,3 beds,0.35,"6191 SE Yamhill St, Portland, OR 97215"
"$849,000",4 beds,4 beds,"1,177","1806 NW Marshall St, Portland, OR 97209"
"$374,999",3 beds,3 beds,"1,742","16715 SE Rhine St, Portland, OR 97236"
"$2,675,000",6 beds,6 beds,"2,100","11061 S Esquiline Ave, Portland, OR 97219"
"$315,000",0 beds,0 beds,"5,227","1030 NW 12th Ave #410, Portland, OR 97209"
"$709,900",2 beds,2 beds,"2,975","2525 NW Thurman St, Portland, OR 97210"
"$315,000",2 beds,2 beds,"3,484","6645 W Burnside #527, Portland, OR 97210"
"$449,900",2 beds,2 beds,"2,481","7090 N Moore Ave #1, Portland, OR 97217"
"$650,000",2 beds,2 beds,"2,178","1224 SE Malden St SE, Portland, OR 97202"
"$450,000",3 beds,3 beds,"1,200","4510 SE 128th Ave, Portland, OR 97236"
"$449,000",1 bed,1 bed,"6,969","820 NW 12th Ave #202, Portland, OR 97209"
"$327,000",2 beds,2 beds,"6,616","146 Oswego Smt, Lake Oswego, OR 97035"
"$5,500,000",6 beds,6 beds,0.61,"1816 SW Hawthorne Ter, Portland, OR 97201"
"$329,900",2 beds,2 beds,605,"7469 N Mohawk #2, Portland, OR 97203"
"$294,000",2 beds,2 beds,"1,364","8639 N Crawford St, Portland, OR 97203"
"$650,000",3 beds,3 beds,"1,306","4915 NE 60th Ave, Portland, OR 97218"
"$489,000",3 beds,3 beds,"1,140","1021 NE Meadow Dr, Portland, OR 97211"
"$434,900",3 beds,3 beds,884,"6237 SE Sherrett St, Portland, OR 97206"
"$379,900",3 beds,3 beds,"1,869","12940 NE Broadway, Portland, OR 97230"
"$635,000",3 beds,3 beds,"2,613","611 SW Cheltenham St, Portland, OR 97239"
"$874,999",5 beds,5 beds,"1,350","7710 SW Oak St, Portland, OR 97223"
"$565,000",4 beds,4 beds,916,"11815 SW Bowmont St, Portland, OR 97225"
"$334,900",1 bed,1 bed,"1,212","1500 SW Park Ave #431, Portland, OR 97201"
"$595,000",3 beds,3 beds,"9,831","6126 NE Klickitat St, Portland, OR 97213"
"$1,700,000",3 beds,3 beds,1.17,"710 NW 14th Ave, Portland, OR 97209"
"$849,000",3 beds,3 beds,915,"18525 NE Marine Dr Unit C7, Portland, OR 97230"
"$825,000",3 beds,3 beds,900,"3552 NE Killingsworth St, Portland, OR 97211"
"$450,000",3 beds,3 beds,"2,671","14832 SE Arista Dr, Milwaukie, OR 97267"
Unknown,1 bed,1 bed,0.34,"185 N Hayden Bay Dr, Portland, OR 97217"
"$599,900",4 beds,4 beds,"1,246","34 SE 71st Ave, Portland, OR 97215"
"$569,000",3 beds,3 beds,0.26,"7300 SE San Marcos Ave, Milwaukie, OR 97267"
"$399,900",2 beds,2 beds,"1,089","6363 SE Tenino St Unit C, Portland, OR 97206"
"$1,400,000",4 beds,4 beds,"4,791","643 SE 74th Ave, Portland, OR 97215"
"$374,900",3 beds,3 beds,"1,056","8728 NE Russell St, Portland, OR 97220"
"$575,000",3 beds,3 beds,"8,276","8495 N Newman Ave, Portland, OR 97203"
"$729,900",4 beds,4 beds,"2,428","2530 NE 58th Ave, Portland, OR 97213"
"$359,900",1 bed,1 bed,"5,227","1248 N Watts St, Portland, OR 97217"
"$1,299,999",4 beds,4 beds,780,"3309 SW Stonebrook Dr, Portland, OR 97239"
"$400,000",3 beds,3 beds,"5,227","5930 SE 96th Ave, Portland, OR 97266"
"$595,000",5 beds,5 beds,"3,545","8515 N Richmond Ave, Portland, OR 97203"
"$975,000",3 beds,3 beds,0.35,"6191 SE Yamhill St, Portland, OR 97215"
"$849,000",4 beds,4 beds,"1,177","1806 NW Marshall St, Portland, OR 97209"
"$374,999",3 beds,3 beds,"1,742","16715 SE Rhine St, Portland, OR 97236"
"$2,675,000",6 beds,6 beds,"2,100","11061 S Esquiline Ave, Portland, OR 97219"
"$315,000",0 beds,0 beds,"5,227","1030 NW 12th Ave #410, Portland, OR 97209"
"$709,900",2 beds,2 beds,"2,975","2525 NW Thurman St, Portland, OR 97210"
"$315,000",2 beds,2 beds,"3,484","6645 W Burnside #527, Portland, OR 97210"
"$449,900",2 beds,2 beds,"2,481","7090 N Moore Ave #1, Portland, OR 97217"
"$650,000",2 beds,2 beds,"2,178","1224 SE Malden St SE, Portland, OR 97202"
"$450,000",3 beds,3 beds,"1,200","4510 SE 128th Ave, Portland, OR 97236"
"$449,000",1 bed,1 bed,"6,969","820 NW 12th Ave #202, Portland, OR 97209"
"$327,000",2 beds,2 beds,"6,616","146 Oswego Smt, Lake Oswego, OR 97035"
"$5,500,000",6 beds,6 beds,0.61,"1816 SW Hawthorne Ter, Portland, OR 97201"
"$329,900",2 beds,2 beds,605,"7469 N Mohawk #2, Portland, OR 97203"
"$294,000",2 beds,2 beds,"1,364","8639 N Crawford St, Portland, OR 97203"
"$650,000",3 beds,3 beds,"1,306","4915 NE 60th Ave, Portland, OR 97218"
"$615,000",3 beds,3 beds,"2,514","7324 N Washburne Ave, Portland, OR 97217"
"$674,000",4 beds,4 beds,"7,405","1514 NE Ainsworth St, Portland, OR 97211"
"$1,549,900",3 beds,3 beds,"2,127","251 SW California St, Portland, OR 97219"
"$689,000",4 beds,4 beds,"5,227","15527 SE Knapp Dr, Portland, OR 97236"
"$250,000",2 beds,2 beds,"3,289","12638 NW Barnes Rd #10, Portland, OR 97229"
"$389,900",2 beds,2 beds,"5,000","7968 SE 16th Ave, Portland, OR 97202"
"$258,800",1 bed,1 bed,"2,398","255 SW Harrison St Unit 8G, Portland, OR 97201"
"$539,000",3 beds,3 beds,"7,840","223 NE Ivy St Unit C, Portland, OR 97212"
"$309,900",2 beds,2 beds,812,"7551 N Gravenstein Ave #7, Portland, OR 97217"
"$299,900",2 beds,2 beds,"1,858","7563 N Gravenstein Ave #4, Portland, OR 97217"
"$1,175,000",4 beds,4 beds,"2,613","7217 SE 36th Ave, Portland, OR 97202"
"$319,900",2 beds,2 beds,600,"3350 N Russet St #2, Portland, OR 97217"
"$355,000",2 beds,2 beds,"1,303","199 N Hayden Bay Dr, Portland, OR 97217"
"$309,900",2 beds,2 beds,927,"3352 N Russet St #1, Portland, OR 97217"
"$1,050,000",4 beds,4 beds,916,"12508 NW Mountain View Rd, Portland, OR 97231"
"$899,000",4 beds,4 beds,"3,428","13055 SW Saint James Ln, Portland, OR 97224"
"$395,000",2 beds,2 beds,"6,098","3419 NE 87th Pl, Portland, OR 97220"
"$850,000",1 bed,1 bed,929,"550 SW 10th Ave #2304, Portland, OR 97205"
"$2,299,900",14 beds,14 beds,"1,023","7567 N Gravenstein Ave, Portland, OR 97217"
"$1,149,500",4 beds,4 beds,929,"11585 NW Reeves St, Portland, OR 97229"
"$599,999",3 beds,3 beds,"4,512","7130 SW Canyon Rd, Portland, OR 97225"
"$800,000",3 beds,3 beds,0.46,"9554 NW Arborview Dr, Portland, OR 97229"
"$639,000",3 beds,3 beds,"3,119","5716 SW Seymour Ct, Portland, OR 97221"
"$319,900",2 beds,2 beds,"7,840","2900 NE 151st Ave Unit 4-B, Portland, OR 97230"
"$334,900",2 beds,2 beds,832,"6610 SW Terri Ct #12, Portland, OR 97225"
"$799,000",6 beds,6 beds,"5,662","1617/1625 SE Clatsop St, Portland, OR 97202"
"$324,900",2 beds,2 beds,"1,028","2729 SE 50th Ave, Portland, OR 97206"
"$425,000",2 beds,2 beds,"6,447","4788 SE 121st Pl, Portland, OR 97266"
