price,rooms,baths,square_feet,address
"$249,900",2 beds,2 beds,840,"109 Luna Grande Cir #54, Sacramento, CA 95834"
"$725,000",3 beds,3 beds,"2,015","31 Westlite Ct, Sacramento, CA 95831"
"$299,000",2 beds,2 beds,"9,078","1019 Dornajo Way #214, Sacramento, CA 95825"
"$634,888",4 beds,4 beds,968,"1220 Aspenparke Way, Sacramento, CA 95834"
"$199,800",2 beds,2 beds,"2,318","116 Davis Ave, Sacramento, CA 95823"
"$370,000",2 beds,2 beds,"5,889","5910 66th St, Sacramento, CA 95824"
"$115,000",2 beds,2 beds,"1,800","107 Dahlia Ave, Sacramento, CA 95828"
"$225,000",2 beds,2 beds,836,"4521 Palm Ave #3, Sacramento, CA 95842"
"$299,900",2 beds,2 beds,"5,162","100 Balcaro Way #40, Sacramento, CA 95834"
"$479,500",4 beds,4 beds,"1,520","7329 Lemon Hill Ave, Sacramento, CA 95824"
"$475,000",2 beds,2 beds,840,"3270 C St, Sacramento, CA 95816"
"$365,000",4 beds,4 beds,840,"5131 Sitton Way, Sacramento, CA 95823"
"$631,991",3 beds,3 beds,"1,622","9866 Jeff Handy Dr, Sacramento, CA 95829"
"$714,081",5 beds,5 beds,0.29,"9932 Mesa Verde Way, Sacramento, CA 95829"
"$8,995,000",0 beds,0 beds,"1,093","2030 10th St, Sacramento, CA 95818"
"$1,200,000",4 beds,4 beds,"6,429","965 Jonas Ave, Sacramento, CA 95864"
"$375,000",3 beds,3 beds,"1,164","5032 Springfield Way, Sacramento, CA 95841"
"$749,900",4 beds,4 beds,"5,663","6230 14th St, Sacramento, CA 95831"
"$629,000",4 beds,4 beds,"2,262","9460 N Vintage Port Way, Sacramento, CA 95829"
"$620,000",2 beds,2 beds,"5,225","2076 University Park Dr, Sacramento, CA 95825"
"$80,000",2 beds,2 beds,"2,929","10024 Froom Cir #78, Sacramento, CA 95827"
"$679,000",4 beds,4 beds,"5,225","371 Aviator Cir, Sacramento, CA 95835"
"$690,000",3 beds,3 beds,—,"4531 S Land Park Dr, Sacramento, CA 95822"
"$549,900",4 beds,4 beds,"9,601","1344 - 1346 Difani Ct, Sacramento, CA 95864"
"$525,000",3 beds,3 beds,"2,069","5 Long Warf Pl, Sacramento, CA 95835"
"$550,000",3 beds,3 beds,1.13,"3105 Shasta Way, Sacramento, CA 95821"
"$349,000",3 beds,3 beds,"1,224","1748 Neihart Ave, Sacramento, CA 95832"
"$299,990",2 beds,2 beds,0.23,"5807 Vista Ave, Sacramento, CA 95824"
"$406,700",3 beds,3 beds,"1,989","6760 52nd St, Sacramento, CA 95823"
"$549,900",3 beds,3 beds,0.32,"2616 Q St, Sacramento, CA 95816"
"$509,000",3 beds,3 beds,"2,151","3653 Keswick Way, Sacramento, CA 95826"
"$930,000",3 beds,3 beds,"6,050","1430 Joby Ln, Sacramento, CA 95864"
"$486,000",3 beds,3 beds,"1,834","7181 Surreywood Way, Sacramento, CA 95823"
"$545,000",4 beds,4 beds,627,"9138 Callock Ct, Sacramento, CA 95829"
"$190,000",2 beds,2 beds,"2,632","7352 Franklin Blvd #2, Sacramento, CA 95823"
"$711,704",4 beds,4 beds,"4,356","7863 Rhinelander Way, Sacramento, CA 95828"
"$704,081",5 beds,5 beds,"2,335","9874 Jeff Handy Dr, Sacramento, CA 95829"
"$744,800",4 beds,4 beds,"8,712","7512 Greenhaven Dr, Sacramento, CA 95831"
"$319,000",3 beds,3 beds,"2,048","9247 Starina Way, Sacramento, CA 95826"
"$799,900",4 beds,4 beds,"8,477","418 Pimentel Way, Sacramento, CA 95831"
"$240,000",2 beds,2 beds,796,"3904 Fell St, Sacramento, CA 95838"
"$649,000",6 beds,6 beds,"6,098","4405 Belcrest Way, Sacramento, CA 95821"
"$1,200,000",6 beds,6 beds,"2,483","171 Lightner Ct, Sacramento, CA 95815"
"$499,500",3 beds,3 beds,0.28,"3808 Havengate Way, Sacramento, CA 95834"
"$445,000",4 beds,4 beds,"3,260","7356 21st St, Sacramento, CA 95822"
"$450,000",3 beds,3 beds,0.32,"4744 67th St, Sacramento, CA 95820"
"$515,000",2 beds,2 beds,"1,404","2660 21st St, Sacramento, CA 95818"
"$625,000",5 beds,5 beds,"3,206","4912 Springfield Way, Sacramento, CA 95841"
"$428,000",2 beds,2 beds,"1,232","2559 Radar Ln, Sacramento, CA 95834"
"$395,000",3 beds,3 beds,"8,276","6630 Golf View Dr, Sacramento, CA 95822"
"$365,000",3 beds,3 beds,"1,247","6861 Demaret Dr, Sacramento, CA 95822"
"$449,000",4 beds,4 beds,"1,498","3927 Jasmine St, Sacramento, CA 95838"
"$525,000",3 beds,3 beds,"1,107","2313 Haldis Way, Sacramento, CA 95822"
"$498,000",4 beds,4 beds,"4,356","4222 Westporter Dr, Sacramento, CA 95826"
"$865,000",3 beds,3 beds,"2,400","570 Southgate Rd, Sacramento, CA 95815"
"$475,000",3 beds,3 beds,"8,276","7515 Sheldon Rd #45103, Elk Grove, CA 95758"
"$415,000",3 beds,3 beds,"1,065","5 Milpitas Cir, Sacramento, CA 95823"
"$292,000",2 beds,2 beds,"1,394","2202 Woodside Ln #1, Sacramento, CA 95825"
"$169,900",3 beds,3 beds,980,"3137 Federalist Ln #23, Sacramento, CA 95827"
"$479,000",4 beds,4 beds,"7,841","7350 Southern Pine Ln, Sacramento, CA 95842"
"$228,500",1 bed,1 bed,"1,296","728 Woodside Lane East #4, Sacramento, CA 95825"
"$450,000",3 beds,3 beds,0.31,"9617 Oaken Bucket Ct, Sacramento, CA 95827"
"$550,000",4 beds,4 beds,"1,430","74 Palma Harbour Pl, Sacramento, CA 95834"
