price,rooms,baths,square_feet,address
"$550,000",4 beds,4 beds,"2,829","2335 Castello Way, San Antonio, TX 78259-3712"
"$275,000",2 beds,2 beds,"6,011","111 Mississippi St, San Antonio, TX 78210-1865"
"$314,900",4 beds,4 beds,968,"9642 Mustang Mesa, San Antonio, TX 78254-5949"
"$199,999",3 beds,3 beds,"2,570","14522 Source Cir, San Antonio, TX 78223"
"$345,000",3 beds,3 beds,"2,346","12535 Betelgeuse, San Antonio, TX 78245"
"$545,900",4 beds,4 beds,"6,229","2823 Sueno Pt, San Antonio, TX 78245-3702"
"$309,999",4 beds,4 beds,"1,244","323 Shropshire Dr, San Antonio, TX 78217-6030"
"$259,950",3 beds,3 beds,"4,399","2366 Pue Rd, San Antonio, TX 78245-2825"
"$460,000",4 beds,4 beds,"1,754","13918 Palatine Hl, San Antonio, TX 78253-7005"
"$465,000",4 beds,4 beds,"6,011","6526 Winding Farm, San Antonio, TX 78249-4539"
"$619,000",4 beds,4 beds,"2,504","4039 Calle DE Cobre, San Antonio, TX 78257-5059"
"$295,000",3 beds,3 beds,0.30,"13342 Welsh Pony, San Antonio, TX 78254-2165"
"$437,000",3 beds,3 beds,"1,802","17902 La Cantera #201, San Antonio, TX 78257"
"$1,000,000",4 beds,4 beds,"6,912.00",307 Ogden Ln
"$320,000",2 beds,2 beds,"2,408","13030 Salt Frk, San Antonio, TX 78253-6689"
"$489,000",4 beds,4 beds,"6,446","8947 Highland Star, San Antonio, TX 78254-4409"
"$360,000",3 beds,3 beds,"3,428","8322 Lajitas Bnd, San Antonio, TX 78254-6353"
"$200,000",3 beds,3 beds,"9,016","9430 Stones Riv, San Antonio, TX 78245"
"$160,000",3 beds,3 beds,"2,355","217 Lancaster, San Antonio, TX 78214"
"$265,000",3 beds,3 beds,"5,837","4306 Buckhorn Byu, San Antonio, TX 78245-3738"
"$240,000",3 beds,3 beds,"3,266","9702 Marbach Hl, San Antonio, TX 78245-4809"
"$262,000",3 beds,3 beds,0.25,"13818 Pinkston, San Antonio, TX 78252"
"$395,000",4 beds,4 beds,"1,656","6346 Palmetto Way, San Antonio, TX 78253"
