price,rooms,baths,square_feet,address
"$999,000",3 beds,3 beds,"1,042","91 Stoneyford Ave, San Francisco, CA 94112"
"$1,499,000",1 bed,1 bed,"2,426","1306 Florida St, San Francisco, CA 94110"
"$2,100,000",3 beds,3 beds,"1,075","1700 Vallejo St, San Francisco, CA 94123"
"$995,000",2 beds,2 beds,"1,873","1120 Cole St, San Francisco, CA 94117"
"$2,500,000",4 beds,4 beds,"2,339","108 Naglee Ave, San Francisco, CA 94112"
"$2,495,000",0 beds,0 beds,"1,360","3848 24th St, San Francisco, CA 94114"
"$2,998,000",3 beds,3 beds,"3,881","207 Cole St, San Francisco, CA 94117"
"$890,000",1 bed,1 bed,"2,800","1490 Francisco St #10, San Francisco, CA 94123"
"$2,300,000",3 beds,3 beds,"4,400","1925 Gough St #64, San Francisco, CA 94109"
"$3,950,000",4 beds,4 beds,"1,873","260 32nd Ave, San Francisco, CA 94121"
"$3,595,000",4 beds,4 beds,"2,287","573 Diamond St, San Francisco, CA 94114"
"$2,600,000",0 beds,0 beds,"2,016","530 Page St, San Francisco, CA 94117"
"$3,995,000",4 beds,4 beds,—,"4319 25th St, San Francisco, CA 94114"
"$1,195,000",1 bed,1 bed,"2,115","2228 Beach St, San Francisco, CA 94123"
"$12,500,000",5 beds,5 beds,"2,647","3090 Pacific Ave, San Francisco, CA 94115"
"$2,495,000",2 beds,2 beds,"3,000","1750 Taylor St #2302, San Francisco, CA 94133"
"$995,000",2 beds,2 beds,"2,692","249 Connecticut St, San Francisco, CA 94107"
"$3,995,000",2 beds,2 beds,"2,622","1750 Taylor St #305, San Francisco, CA 94133"
"$2,350,000",3 beds,3 beds,"7,050","1926 Funston Ave, San Francisco, CA 94116"
"$1,200,000",4 beds,4 beds,"3,500","1061 - 1063 Kansas St, San Francisco, CA 94107"
"$3,395,000",3 beds,3 beds,"2,893","631 Folsom St Unit PHD, San Francisco, CA 94107"
"$899,000",2 beds,2 beds,"3,036","3645 16th St, San Francisco, CA 94114"
"$888,000",1 bed,1 bed,990,"21 Alta St Unit C, San Francisco, CA 94133"
"$630,000",1 bed,1 bed,"6,170","81 Frank Norris St #702, San Francisco, CA 94109"
"$1,828,000",3 beds,3 beds,"3,319","1 North Gate Dr, San Francisco, CA 94127"
"$2,650,000",4 beds,4 beds,"1,400","1756 Leavenworth St, San Francisco, CA 94109"
"$444,900",1 bed,1 bed,"1,157","1075 Market St #507, San Francisco, CA 94103"
"$1,260,000",3 beds,3 beds,"2,190","324 Holyoke St, San Francisco, CA 94134"
"$1,500,000",3 beds,3 beds,"2,042","2127 30th Ave, San Francisco, CA 94116"
"$1,495,000",2 beds,2 beds,"2,983","211 Cole St, San Francisco, CA 94117"
"$1,395,000",2 beds,2 beds,"2,365","209 Cole St, San Francisco, CA 94117"
"$3,795,000",4 beds,4 beds,"2,495","49 Divisadero St, San Francisco, CA 94117"
"$416,000",0 beds,0 beds,"2,623","52 Kirkwood Ave #403, San Francisco, CA 94124"
"$578,800",1 bed,1 bed,"1,250","52 Kirkwood Ave #101, San Francisco, CA 94124"
"$1,495,000",3 beds,3 beds,905,"88 King St #403, San Francisco, CA 94107"
"$1,249,000",3 beds,3 beds,—,"1947 Oakdale Ave #1, San Francisco, CA 94124"
"$1,395,000",3 beds,3 beds,"1,942","1822 43rd Ave, San Francisco, CA 94122"
"$1,198,000",5 beds,5 beds,"4,085","1090 Ingerson Ave, San Francisco, CA 94124"
"$509,000",0 beds,0 beds,"2,921","52 Kirkwood Ave #307, San Francisco, CA 94124"
"$999,999",4 beds,4 beds,"1,360","424 Tocoloma Ave, San Francisco, CA 94134"
"$595,000",2 beds,2 beds,831,"603 Natoma St #202, San Francisco, CA 94103"
"$1,300,000",2 beds,2 beds,"1,046","2655 Bush St #129, San Francisco, CA 94115"
"$598,800",1 bed,1 bed,741,"52 Kirkwood Ave #317, San Francisco, CA 94124"
"$2,500,000",2 beds,2 beds,"1,317","176 Randall St, San Francisco, CA 94131"
"$1,695,000",2 beds,2 beds,"3,123","692 Castro St, San Francisco, CA 94114"
"$1,395,000",2 beds,2 beds,"1,615","654 Pennsylvania Ave, San Francisco, CA 94107"
"$1,378,000",2 beds,2 beds,915,"239 Brannan St Unit 5D, San Francisco, CA 94107"
"$795,000",1 bed,1 bed,"2,500","77 Dow Pl #500, San Francisco, CA 94107"
