price,rooms,baths,square_feet,address
"$598,888",2 beds,2 beds,"1,024","2255 Summerton Dr, San Jose, CA 95122"
"$599,888",2 beds,2 beds,968,"3236 Parkhaven Dr, San Jose, CA 95132"
"$1,299,000",3 beds,3 beds,"1,835","1140 N 2nd St, San Jose, CA 95112"
"$1,168,888",4 beds,4 beds,"2,112","438 Ellicott Loop, San Jose, CA 95123"
"$3,189,000",4 beds,4 beds,"2,483","15632 Los Gatos Almaden Rd, Los Gatos, CA 95032"
"$830,000",2 beds,2 beds,"8,712","549 Giuffrida Ave Unit E, San Jose, CA 95123"
"$2,499,000",4 beds,4 beds,"1,420","585 Atlanta Ave, San Jose, CA 95125"
"$2,849,000",4 beds,4 beds,"2,940","1021 Camino Ricardo, San Jose, CA 95125"
"$1,285,000",3 beds,3 beds,"9,148","319 Blairbeth Dr, San Jose, CA 95119"
"$1,498,888",4 beds,4 beds,"3,260","3599 Rowley Dr, San Jose, CA 95132"
"$1,800,000",4 beds,4 beds,"6,098","1738 Valpico Dr, San Jose, CA 95124"
"$774,889",2 beds,2 beds,"1,067","8375 Riesling Way, San Jose, CA 95135"
"$2,450,000",3 beds,3 beds,"6,534","5501 Blossom Acres Dr, San Jose, CA 95124"
"$705,000",2 beds,2 beds,"1,598","4857 Pine Forest Pl, San Jose, CA 95118"
"$1,798,000",3 beds,3 beds,"6,615","4831 Rhonda Dr, San Jose, CA 95129"
"$1,475,000",3 beds,3 beds,"1,800","119 Cherry Blossom Dr, San Jose, CA 95123"
"$499,000",1 bed,1 bed,"6,534","25 S 3rd St #113, San Jose, CA 95113"
"$698,999",2 beds,2 beds,"1,497","53 Silcreek Dr, San Jose, CA 95116"
"$1,211,388",3 beds,3 beds,"2,100","2057 Tarob Ct, Milpitas, CA 95035"
"$1,860,000",4 beds,4 beds,"6,534","1558 Sabina Way, San Jose, CA 95118"
"$1,499,000",3 beds,3 beds,"1,026","2434 Woodland Ave, San Jose, CA 95128"
"$1,487,287",3 beds,3 beds,"1,146","2053 Tarob Ct, Milpitas, CA 95035"
"$1,689,000",4 beds,4 beds,"5,940","796 Sunset Glen Dr, San Jose, CA 95123"
"$559,999",2 beds,2 beds,"1,536","5468 Cribari Grn, San Jose, CA 95135"
"$1,226,417",2 beds,2 beds,"6,970","2075 Tarob Ct, Milpitas, CA 95035"
