price,rooms,baths,square_feet,address
"$255,000",1 bed,1 bed,609,"3024 NE 143rd St #103, Seattle, WA 98125"
"$945,000",3 beds,3 beds,"1,620","3829 23rd Ave W Unit B, Seattle, WA 98199"
"$255,000",1 bed,1 bed,"1,575","919 2nd Ave W #203, Seattle, WA 98119"
"$629,500",2 beds,2 beds,576,"6582 High Point Dr SW, Seattle, WA 98126"
"$649,950",1 bed,1 bed,"1,380","530 Broadway E #121, Seattle, WA 98102"
"$749,999",3 beds,3 beds,"1,239","4138 Baker Ave NW, Seattle, WA 98107"
"$985,000",2 beds,2 beds,913,"151 N 79th St, Seattle, WA 98103"
"$999,999",3 beds,3 beds,"1,680","4717 S Lucile St, Seattle, WA 98118"
"$374,500",1 bed,1 bed,"4,410","505 E Denny Way Unit A601, Seattle, WA 98122"
"$825,000",1 bed,1 bed,"2,010","1415 2nd Ave #1801, Seattle, WA 98101"
"$475,000",2 beds,2 beds,"2,400","827 Hiawatha Pl S #409, Seattle, WA 98144"
"$749,000",2 beds,2 beds,"1,850","1415 2nd Ave #1004, Seattle, WA 98101"
"$1,649,000",4 beds,4 beds,"2,575","5101 46th Ave SW, Seattle, WA 98136"
"$729,000",2 beds,2 beds,530,"6023 44th Ave SW, Seattle, WA 98136"
"$985,000",2 beds,2 beds,610,"900 Lenora St Unit W1107, Seattle, WA 98121"
"$299,950",1 bed,1 bed,858,"1105 Spring St #812, Seattle, WA 98104"
"$2,099,000",— beds,— beds,"1,004","9632 Aurora Ave N, Seattle, WA 98103"
"$1,650,000",6 beds,6 beds,"2,730","1516 -1518 11th Ave W, Seattle, WA 98119"
"$2,000,000",8 beds,8 beds,"4,080","8833 Nesbit Ave N, Seattle, WA 98103"
"$969,900",4 beds,4 beds,"1,510","2346 Franklin Ave E Unit B, Seattle, WA 98102"
"$969,900",3 beds,3 beds,"5,000","2344 Franklin Ave E Unit A, Seattle, WA 98102"
"$949,950",3 beds,3 beds,"1,206","8543 14th Ave NW Unit C, Seattle, WA 98117"
"$570,000",2 beds,2 beds,700,"662 SW 100th St, Seattle, WA 98106"
"$1,575,000",6 beds,6 beds,"6,160","2567 13th Ave W, Seattle, WA 98119"
"$1,080,000",4 beds,4 beds,"5,640","3914 S Brandon St, Seattle, WA 98118"
"$810,000",2 beds,2 beds,"4,170","806 34th Ave, Seattle, WA 98122"
"$795,000",3 beds,3 beds,"5,400","5711 20th Ave NW, Seattle, WA 98107"
"$1,188,000",5 beds,5 beds,"5,412","2321 14th Ave S, Seattle, WA 98144"
"$1,500,000",3 beds,3 beds,"5,125","2631 29th Ave W, Seattle, WA 98199"
"$179,950",0 beds,0 beds,"1,430","9050 Seward Park Ave S #22, Seattle, WA 98118"
"$875,000",4 beds,4 beds,664,"2428 E Roy St, Seattle, WA 98112"
"$995,000",4 beds,4 beds,"1,440","610 Melrose Ave E Unit B, Seattle, WA 98102"
"$895,000",3 beds,3 beds,800,"6821 Weedin Pl NE, Seattle, WA 98115"
"$712,472",2 beds,2 beds,"1,694","14598 Westminster Way N #201, Shoreline, WA 98133"
"$721,747",2 beds,2 beds,900,"14598 Westminster Way N #211, Shoreline, WA 98133"
"$740,985",2 beds,2 beds,"1,272","14598 Westminster Way N #101, Shoreline, WA 98133"
"$550,000",1 bed,1 bed,"1,366","2321 Fairview Ave E #1, Seattle, WA 98102"
"$465,000",1 bed,1 bed,"3,160","1800 43rd Ave E #401, Seattle, WA 98112"
"$2,400,000",3 beds,3 beds,"5,000","734 10th Ave E, Seattle, WA 98102"
"$749,950",3 beds,3 beds,"2,503","12722 Roosevelt Way NE, Seattle, WA 98125"
"$598,196",1 bed,1 bed,955,"14598 Westminster Way N #406, Shoreline, WA 98133"
"$667,418",2 beds,2 beds,"1,186","14598 Westminster Way N #404, Shoreline, WA 98133"
"$899,950",3 beds,3 beds,"2,120","8501 Ravenna Ave NE, Seattle, WA 98115"
"$498,000",0 beds,0 beds,"9,082","1505 11th Ave #305, Seattle, WA 98122"
"$879,000",6 beds,6 beds,503,"3948 S Brandon St, Seattle, WA 98118"
"$550,000",2 beds,2 beds,"1,931","11322 14th Ave NE, Seattle, WA 98125"
"$625,000",2 beds,2 beds,"3,629","11320 B 14th Ave NE, Seattle, WA 98125"
"$1,050,000",3 beds,3 beds,880,"1532 Thorndyke Ave W, Seattle, WA 98199"
"$755,000",2 beds,2 beds,"2,200","6518 40th Ave SW Unit B, Seattle, WA 98136"
"$1,150,000",3 beds,3 beds,"1,061","2506 Fairview Ave E, Seattle, WA 98102"
"$460,000",3 beds,3 beds,"1,307","10803 55th Ave S, Seattle, WA 98178"
"$749,950",2 beds,2 beds,"2,766","4527 A 40th Ave SW, Seattle, WA 98116"
"$815,000",4 beds,4 beds,"5,750","507 35th Ave S, Seattle, WA 98144"
"$799,900",2 beds,2 beds,980,"815 NE 105 St Unit B, Seattle, WA 98125"
"$965,000",2 beds,2 beds,"2,000","4615 49th Ave S, Seattle, WA 98118"
"$1,195,000",3 beds,3 beds,"1,920","10510 Sand Point Way NE, Seattle, WA 98125"
"$874,900",3 beds,3 beds,"2,092","1610 N 143rd St, Seattle, WA 98133"
"$649,900",2 beds,2 beds,980,"2013 NE 98th St, Seattle, WA 98115"
"$2,960,000",4 beds,4 beds,"5,760","167 Ward St, Seattle, WA 98109"
"$825,000",4 beds,4 beds,"1,620","12314 14th Ave NE Unit E, Seattle, WA 98125"
"$350,000",1 bed,1 bed,"1,439","220 W Olympic Pl #310, Seattle, WA 98119"
"$520,000",1 bed,1 bed,"1,100","4404 37th Ave SW Unit C, Seattle, WA 98126"
"$695,000",3 beds,3 beds,"7,200","9404 18th Ave SW, Seattle, WA 98106"
