price,rooms,baths,square_feet,address
"$599,000",4 beds,4 beds,"2,340","16411 N Lago Del Oro Pkwy, Tucson, AZ 85739"
"$500,000",2 beds,2 beds,1.55,"62232 E Amberwood Dr, Saddlebrooke, AZ 85739"
"$550,000",3 beds,3 beds,"2,024","38438 S Desert Highland Dr, Saddlebrooke, AZ 85739"
"$520,000",2 beds,2 beds,"8,276","37118 S Rock Crest Dr, Saddlebrooke, AZ 85739"
"$570,000",2 beds,2 beds,"3,183","40035 S Lake Crest Dr, Tucson, AZ 85739"
"$525,000",2 beds,2 beds,"8,400","36473 S Stoney Flower Dr, Tucson, AZ 85739"
"$675,000",3 beds,3 beds,"2,182","62541 E Rangewood Dr, Saddlebrooke, AZ 85739"
"$499,000",2 beds,2 beds,"7,605","64422 E Galveston Ln, Tucson, AZ 85739"
"$480,000",2 beds,2 beds,"1,924","37155 S Hill Side Dr, Tucson, AZ 85739"
"$515,000",2 beds,2 beds,"8,712","62302 E Iron Crest Dr, Tucson, AZ 85739"
"$321,000",3 beds,3 beds,"2,042","8126 S Woodfrost Way, Tucson, AZ 85747"
"$490,000",4 beds,4 beds,"7,800","7847 N Rondure Loop, Tucson, AZ 85743"
"$419,000",4 beds,4 beds,"2,699","2123 W Morning Jewel Pl, Tucson, AZ 85742"
"$339,900",3 beds,3 beds,"8,276","1519 S Tucson Blvd, Tucson, AZ 85713"
"$370,000",4 beds,4 beds,"2,013","8271 W Calle Sancho Panza, Tucson, AZ 85757"
"$445,000",3 beds,3 beds,"6,970","248 S Sycamore Creek Pl, Tucson, AZ 85748"
"$375,000",3 beds,3 beds,"1,912","8162 S Placita Gijon, Tucson, AZ 85747"
"$305,000",4 beds,4 beds,"8,712","8365 W Calle Sancho Panza, Tucson, AZ 85757"
"$2,250,000",4 beds,4 beds,"1,906","14529 N Granite Peak Pl, Oro Valley, AZ 85755"
"$450,000",4 beds,4 beds,0.25,"3535 E Mecate Rd, Tucson, AZ 85739"
"$675,000",3 beds,3 beds,"1,663","16224 N Coronado Forest Dr, Tucson, AZ 85739"
"$639,000",4 beds,4 beds,"4,892","6933 W Hermitage Pl, Tucson, AZ 85743"
"$395,000",3 beds,3 beds,"2,338","10558 S Ariana Dr, Vail, AZ 85641"
"$330,000",3 beds,3 beds,"7,826","3852 E Sun View Ct, Tucson, AZ 85706"
"$350,000",4 beds,4 beds,"2,317","4046 E Agate Knoll Dr, Tucson, AZ 85756"
"$950,000",4 beds,4 beds,"4,574","7006 N Camino Verde, Tucson, AZ 85743"
"$450,000",4 beds,4 beds,"1,495","8933 N Misty Brook Dr, Tucson, AZ 85743"
"$379,900",4 beds,4 beds,"7,073","1571 W Beantree Ln, Tucson, AZ 85713"
"$475,000",3 beds,3 beds,"2,291","649 W Tremolo Ln, Oro Valley, AZ 85737"
"$390,000",4 beds,4 beds,"6,970","10575 S Miramar Canyon Pass, Vail, AZ 85747"
"$249,900",2 beds,2 beds,"1,889","101 S Players Club Dr #4101, Tucson, AZ 85745"
"$259,900",2 beds,2 beds,"5,489","101 S Players Club Dr #22203, Tucson, AZ 85745"
"$349,000",4 beds,4 beds,"1,789","6052 Wych Elm Pl, Tucson, AZ 85747"
"$340,000",3 beds,3 beds,"7,680","5757 N Avra Rd, Tucson, AZ 85743"
"$775,000",4 beds,4 beds,"1,538","10891 N Cactus Point Dr, Tucson, AZ 85742"
"$313,000",3 beds,3 beds,"8,712","4826 E Canary Grass Dr, Tucson, AZ 85756"
"$120,000",2 beds,2 beds,"4,158","1810 E Blacklidge Dr #912, Tucson, AZ 85719"
"$345,000",3 beds,3 beds,1.03,"1725 W Green Thicket Way, Tucson, AZ 85704"
"$300,000",3 beds,3 beds,"2,245","2228 W Drexel Rd, Tucson, AZ 85746"
"$295,000",3 beds,3 beds,"7,057","4859 E American Beauty Dr, Tucson, AZ 85756"
"$449,000",4 beds,4 beds,"1,800","12860 N Camino Vieja Rancheria, Oro Valley, AZ 85755"
"$319,900",2 beds,2 beds,"5,184","5855 N Kolb Rd #6210, Tucson, AZ 85750"
"$175,000",1 bed,1 bed,967,"350 N Silverbell Rd #1, Tucson, AZ 85745"
"$357,000",4 beds,4 beds,672,"6079 S Hawks Hollow Ct, Tucson, AZ 85747"
"$449,000",5 beds,5 beds,"1,632","7232 S Paseo Monte De Oro, Tucson, AZ 85756"
"$450,000",4 beds,4 beds,"2,774","6826 E Via Arroyo Largo, Tucson, AZ 85756"
"$625,000",2 beds,2 beds,"2,633","5752 N Loft Ln N, Tucson, AZ 85718"
"$1,280,000",4 beds,4 beds,"5,140","2745 N Megafauna Ct, Tucson, AZ 85749"
"$499,500",3 beds,3 beds,"2,532","8605 N Continental Links Dr, Tucson, AZ 85743"
"$525,500",5 beds,5 beds,"5,924","11311 E Squash Blossom Loop, Tucson, AZ 85747"
"$249,900",3 beds,3 beds,"1,808","6110 N Orange Tree Ln, Tucson, AZ 85741"
"$285,000",3 beds,3 beds,"4,792","2965 W Sago Cir, Tucson, AZ 85705"
"$1,150,000",4 beds,4 beds,"3,672","1015 W San Nicolas Cir, Tucson, AZ 85704"
"$630,000",5 beds,5 beds,0.84,"6633 N Amahl Cir, Tucson, AZ 85704"
"$608,900",4 beds,4 beds,"2,428","1601 W Caspian Dr, Tucson, AZ 85704"
"$159,000",3 beds,3 beds,"5,227","6352 N Barcelona Ln #104, Tucson, AZ 85704"
"$142,500",2 beds,2 beds,"2,903","6325 N Barcelona Ln #703, Tucson, AZ 85704"
"$139,000",2 beds,2 beds,"5,619","6321 N Barcelona Ct #901, Tucson, AZ 85704"
"$785,000",4 beds,4 beds,"1,152","4025 W Boras Mine Ct, Tucson, AZ 85745"
"$729,000",3 beds,3 beds,"5,184","3620 W Cobbs Pl, Tucson, AZ 85745"
"$800,000",4 beds,4 beds,"1,368","2665 N Grannen Rd, Tucson, AZ 85745"
"$425,000",5 beds,5 beds,"5,900","4001 N Palm Grove Dr, Tucson, AZ 85705"
"$235,000",2 beds,2 beds,"2,496","95 E Villas Cir, Tucson, AZ 85705"
"$299,900",4 beds,4 beds,0.88,"2549 N Jordan Dr, Tucson, AZ 85745"
"$490,000",3 beds,3 beds,"2,750","6743 N Calle Sin Nombre, Tucson, AZ 85718"
"$480,000",2 beds,2 beds,1.09,"2600 E Skyline Dr #9, Tucson, AZ 85718"
"$875,000",3 beds,3 beds,"2,582","6361 N Calle Del Venado, Tucson, AZ 85718"
"$795,000",3 beds,3 beds,1.12,"6277 N Calle Del Halcon, Tucson, AZ 85718"
"$2,695,000",3 beds,3 beds,"1,300","3600 E Via Colonia Del Sol, Tucson, AZ 85718"
"$2,125,000",6 beds,6 beds,912,"5990 E Terra Grande, Tucson, AZ 85750"
"$1,590,000",4 beds,4 beds,912,"4645 N Via De La Granja, Tucson, AZ 85718"
"$2,495,000",4 beds,4 beds,"3,210","5030 E Oakmont Dr, Tucson, AZ 85718"
"$700,000",2 beds,2 beds,1.25,"4056 E Wind Break Dr, Tucson, AZ 85718"
"$849,900",2 beds,2 beds,"2,192","5360 N Grey Mountain Trl, Tucson, AZ 85750"
"$850,000",4 beds,4 beds,1.09,"4905 N Craycroft Rd, Tucson, AZ 85718"
"$1,950,000",6 beds,6 beds,"4,039","4939 E River Rd, Tucson, AZ 85718"
