price,rooms,baths,square_feet,address
"$675,000",2 beds,2 beds,995,"440 L St NW #1110, Washington, DC 20001"
"$515,000",2 beds,2 beds,974,"2750 14th St NW #508, Washington, DC 20009"
"$585,000",3 beds,3 beds,"1,310","2626 10th St NE, Washington, DC 20018"
"$712,500",2 beds,2 beds,"1,728","1025 1st St SE #611, Washington, DC 20003"
"$685,000",2 beds,2 beds,"1,065","616 E NW #851, Washington, DC 20004"
"$799,900",2 beds,2 beds,"1,109","1025 1st St SE #505, Washington, DC 20003"
"$465,000",3 beds,3 beds,"1,188","5513 B St SE, Washington, DC 20019"
"$499,900",1 bed,1 bed,"1,190","37 L St SE #305, Washington, DC 20003"
"$439,900",3 beds,3 beds,"2,490","4230 Southern Ave SE, Washington, DC 20019"
"$165,000",2 beds,2 beds,638,"5045 Call Pl SE #301, Washington, DC 20019"
"$710,000",3 beds,3 beds,"1,600","1228 Pleasant St SE, Washington, DC 20020"
"$599,000",1 bed,1 bed,"1,600","912 F NW #903, Washington, DC 20004"
"$999,900",2 beds,2 beds,764,"4111 Connecticut Ave NW Ph 604, Washington, DC 20008"
"$224,900",1 bed,1 bed,"2,016","820 18th St NE #202, Washington, DC 20002"
"$3,999,999",7 beds,7 beds,"2,272","1501 NW 11th St NW, Washington, DC 20001"
"$649,000",2 beds,2 beds,958,"700 New Hampshire Ave NW #916, Washington, DC 20037"
"$410,000",3 beds,3 beds,"1,168","4138 Capitol NE, Washington, DC 20019"
"$525,000",1 bed,1 bed,—,"1730 New Hampshire Ave NW #4, Washington, DC 20009"
"$329,900",1 bed,1 bed,"4,950","4014 Georgia Ave NW Unit C02, Washington, DC 20011"
"$1,099,000",— beds,— beds,"1,080","1212 16th St NE, Washington, DC 20002"
"$379,000",2 beds,2 beds,"1,264","3497 Summit Ct NE #3497, Washington, DC 20018"
"$225,000",0 beds,0 beds,"1,241","3701 Connecticut Ave NW #807, Washington, DC 20008"
"$800,000",2 beds,2 beds,"2,992","217 16th St NE #7, Washington, DC 20002"
"$315,000",1 bed,1 bed,825,"2939 Van Ness St NW #501, Washington, DC 20008"
"$700,000",2 beds,2 beds,513,"217 16th St NE #8, Washington, DC 20002"
"$1,085,000",3 beds,3 beds,"2,640","217 16th St NE #3, Washington, DC 20002"
"$485,000",1 bed,1 bed,"3,041","217 16th St NE #2, Washington, DC 20002"
"$675,000",— beds,— beds,"1,409","325 Parkland Pl SE, Washington, DC 20032"
"$634,900",2 beds,2 beds,440,"218 Cedar St NW #302, Washington, DC 20012"
"$574,500",2 beds,2 beds,"1,365","1341 E Capitol St SE #301, Washington, DC 20003"
"$989,900",— beds,— beds,942,"1238 Penn St NE, Washington, DC 20002"
"$255,000",1 bed,1 bed,"1,170","800 4th St SW Unit N410, Washington, DC 20024"
"$1,595,000",7 beds,7 beds,"1,827","2408 37th St NW, Washington, DC 20007"
"$979,000",2 beds,2 beds,775,"2421 18th St NW #303, Washington, DC 20009"
"$1,800,000",4 beds,4 beds,"2,720","1918 Belmont Rd NW, Washington, DC 20009"
"$799,999",3 beds,3 beds,"3,360","1871 Corcoran St NE Unit 1871-B, Washington, DC 20002"
"$1,695,000",4 beds,4 beds,880,"5415 Hawthorne Pl NW, Washington, DC 20016"
"$689,000",2 beds,2 beds,900,"1715 15th St NW #201, Washington, DC 20009"
"$465,000",2 beds,2 beds,"3,164","240 M St SW Unit E715, Washington, DC 20024"
"$959,000",2 beds,2 beds,"2,703","1414 15th St NW #2, Washington, DC 20005"
"$485,000",5 beds,5 beds,"2,160","1508 Tobias Dr SE, Washington, DC 20020"
"$710,000",3 beds,3 beds,"1,590","3020 Warder St NW, Washington, DC 20001"
"$311,000",1 bed,1 bed,871,"2220 20th St NW #57, Washington, DC 20009"
"$518,000",1 bed,1 bed,500,"1001 L St NW #410, Washington, DC 20001"
"$650,000",2 beds,2 beds,734,"301 Massachusetts Ave NW #505, Washington, DC 20001"
"$1,600,000",6 beds,6 beds,953,"418 D St SE, Washington, DC 20003"
"$394,900",2 beds,2 beds,"2,649","1617 21st Pl SE #104, Washington, DC 20020"
"$649,000",4 beds,4 beds,"1,238","286 N St SW, Washington, DC 20024"
"$875,000",2 beds,2 beds,"1,178","408 D St SE Unit A, Washington, DC 20003"
"$1,000,000",2 beds,2 beds,"2,133","408 D St SE Unit B, Washington, DC 20003"
"$355,000",1 bed,1 bed,"1,291","501 Slaters Ln #806, Alexandria, VA 22314"
"$659,900",2 beds,2 beds,"1,346","910 M St NW #525, Washington, DC 20001"
"$550,000",5 beds,5 beds,840,"3243 Massachusetts Ave SE, Washington, DC 20019"
"$1,685,000",5 beds,5 beds,964,"3451 Newark St NW, Washington, DC 20016"
"$4,595,000",7 beds,7 beds,"1,823","4220 Van Ness St NW, Washington, DC 20016"
"$1,850,000",4 beds,4 beds,"7,500","3300 Cleveland Ave NW, Washington, DC 20008"
"$325,000",1 bed,1 bed,"2,451","3039 Macomb St NW #23, Washington, DC 20008"
"$679,500",3 beds,3 beds,"5,038","5233 2nd St NW, Washington, DC 20011"
"$1,435,000",7 beds,7 beds,"8,087","6318 Piney Br NW, Washington, DC 20011"
"$255,000",2 beds,2 beds,"9,371","2103 Fort Davis St SE Unit B, Washington, DC 20020"
"$5,200,000",6 beds,6 beds,"3,500","3126 O St NW, Washington, DC 20007"
"$799,000",3 beds,3 beds,"5,417","1215 Holbrook Ter NE #1, Washington, DC 20002"
"$298,750",1 bed,1 bed,—,"1435 4th St SW Unit B513, Washington, DC 20024"
"$625,000",1 bed,1 bed,"1,864","920 I St NW #907, Washington, DC 20001"
"$1,248,000",4 beds,4 beds,"1,748","1620 New Jersey Ave NW, Washington, DC 20001"
"$449,000",1 bed,1 bed,"5,400","700 7th St SW #809, Washington, DC 20024"
"$749,000",3 beds,3 beds,"6,228","925 Upshur St NE, Washington, DC 20017"
"$460,000",4 beds,4 beds,"1,235","98 Elmira St SW, Washington, DC 20032"
"$650,000",— beds,— beds,"5,204","119 53rd St SE, Washington, DC 20019"
"$835,000",3 beds,3 beds,"6,953","751 Delaware Ave SW #183, Washington, DC 20024"
"$399,000",0 beds,0 beds,"1,500","2125 14th St NW #715, Washington, DC 20009"
"$1,100,000",4 beds,4 beds,721,"41 S NW, Washington, DC 20001"
"$1,299,000",3 beds,3 beds,714,"3113 Quebec Pl NW, Washington, DC 20008"
"$639,900",3 beds,3 beds,"2,330","15 N St NW #1, Washington, DC 20001"
"$1,245,311",3 beds,3 beds,"1,447","3110 Oliver St NW, Washington, DC 20015"
"$1,299,000",3 beds,3 beds,916,"2028 Flagler Pl NW, Washington, DC 20001"
"$460,000",3 beds,3 beds,"2,986","1212 Trenton Pl SE, Washington, DC 20032"
