city,address,price,rooms,bathrooms,sqft
"Woodbridge, VA","2264 York Dr Woodbridge, VA 22191 ","$1,775 - $4,841",1 - 2 bd,1 - 2 ba,"757 - 1,218 sq ft"
"Woodbridge, VA","15200 Leicestershire St Woodbridge, VA 22191 ","$1,866 - $4,326",1 - 3 bd,1 - 2 ba,"777 - 1,719 sq ft"
"Woodbridge, VA","2940 Shumard Oak Dr Woodbridge, VA 22191 ","$1,820 - $2,799",1 - 3 bd,1 - 2 ba,"665 - 1,449 sq ft"
"Woodbridge, VA","2760 Green Ash Loop Woodbridge, VA 22192 ","$1,967 - $2,513",1 - 2 bd,1 - 2 ba,"691 - 1,140 sq ft"
"Woodbridge, VA","2170 Sentry Falls Way Woodbridge, VA 22192 ","$1,668 - $2,387",1 - 2 bd,1 - 2 ba,"653 - 1,023 sq ft"
"Woodbridge, VA","2300 Vantage Dr Woodbridge, VA 22191 ","$1,810 - $3,331",1 - 2 bd,1 - 2 ba,"638 - 1,309 sq ft"
"Woodbridge, VA","2701 Neabsco Common Plz Woodbridge, VA 22191 ","$1,979 - $6,088",1 - 3 bd,1 - 2 ba,"738 - 1,358 sq ft"
"Woodbridge, VA","1723 Long Shadows Ct Woodbridge, VA 22192 ","$1,646 - $2,719",1 - 2 bd,1 - 2 ba,"685 - 1,038 sq ft"
"Woodbridge, VA","13175 Marina Way Woodbridge, VA 22191 ","$1,666 - $3,429",1 - 3 bd,1 - 2 ba,"722 - 1,382 sq ft"
"Woodbridge, VA","1000 Annapolis Way Woodbridge, VA 22191 ","$1,825 - $5,335",1 - 3 bd,1 - 2 ba,"592 - 1,592 sq ft"
"Woodbridge, VA","14321 Wrangler Ln Woodbridge, VA 22193 ","$1,366 - $2,229",Studio - 2 bd,1 - 2 ba,474 - 968 sq ft
"Woodbridge, VA","12525 Gordon Blvd Woodbridge, VA 22192 ","$1,419 - $2,079",Studio - 2 bd,1 ba,323 - 817 sq ft
