city,address,price,rooms,bathrooms,sqft
"Woodbridge, VA","2264 York Dr Woodbridge, VA 22191 ",1775,1,1,757
"Woodbridge, VA","2264 York Dr Woodbridge, VA 22191 ",4841,2,2,1218
"Woodbridge, VA","15200 Leicestershire St Woodbridge, VA 22191 ",1866,1,1,777
"Woodbridge, VA","15200 Leicestershire St Woodbridge, VA 22191 ",4326,2,2,1719
"Woodbridge, VA","15200 Leicestershire St Woodbridge, VA 22191 ",4326,3,2,1719
"Woodbridge, VA","2940 Shumard Oak Dr Woodbridge, VA 22191 ",1820,1,1,665
"Woodbridge, VA","2940 Shumard Oak Dr Woodbridge, VA 22191 ",2799,2,2,1449
"Woodbridge, VA","2940 Shumard Oak Dr Woodbridge, VA 22191 ",2799,3,2,1449
"Woodbridge, VA","2760 Green Ash Loop Woodbridge, VA 22192 ",1967,1,1,691
"Woodbridge, VA","2760 Green Ash Loop Woodbridge, VA 22192 ",2513,2,2,1140
"Woodbridge, VA","2170 Sentry Falls Way Woodbridge, VA 22192 ",1668,1,1,653
"Woodbridge, VA","2170 Sentry Falls Way Woodbridge, VA 22192 ",2387,2,2,1023
"Woodbridge, VA","2300 Vantage Dr Woodbridge, VA 22191 ",1810,1,1,638
"Woodbridge, VA","2300 Vantage Dr Woodbridge, VA 22191 ",3331,2,2,1309
"Woodbridge, VA","2701 Neabsco Common Plz Woodbridge, VA 22191 ",1979,1,1,738
"Woodbridge, VA","2701 Neabsco Common Plz Woodbridge, VA 22191 ",6088,2,2,1358
"Woodbridge, VA","2701 Neabsco Common Plz Woodbridge, VA 22191 ",6088,3,2,1358
"Woodbridge, VA","1723 Long Shadows Ct Woodbridge, VA 22192 ",1646,1,1,685
"Woodbridge, VA","1723 Long Shadows Ct Woodbridge, VA 22192 ",2719,2,2,1038
"Woodbridge, VA","13175 Marina Way Woodbridge, VA 22191 ",1666,1,1,722
"Woodbridge, VA","13175 Marina Way Woodbridge, VA 22191 ",3429,2,2,1382
"Woodbridge, VA","13175 Marina Way Woodbridge, VA 22191 ",3429,3,2,1382
"Woodbridge, VA","1000 Annapolis Way Woodbridge, VA 22191 ",1825,1,1,592
"Woodbridge, VA","1000 Annapolis Way Woodbridge, VA 22191 ",5335,2,2,1592
"Woodbridge, VA","1000 Annapolis Way Woodbridge, VA 22191 ",5335,3,2,1592
"Woodbridge, VA","14321 Wrangler Ln Woodbridge, VA 22193 ",1366,0,1,474
"Woodbridge, VA","14321 Wrangler Ln Woodbridge, VA 22193 ",2229,1,2,968
"Woodbridge, VA","14321 Wrangler Ln Woodbridge, VA 22193 ",2229,2,2,968
"Woodbridge, VA","12525 Gordon Blvd Woodbridge, VA 22192 ",1419,0,1,323
"Woodbridge, VA","12525 Gordon Blvd Woodbridge, VA 22192 ",2079,1,1,817
"Woodbridge, VA","12525 Gordon Blvd Woodbridge, VA 22192 ",2079,2,1,817
"Woodbridge, VA","1905 Stevens Rd Woodbridge, VA 22191 ",1410,1,1,710
"Woodbridge, VA","1905 Stevens Rd Woodbridge, VA 22191 ",1850,2,1.5,1200
"Woodbridge, VA","1905 Stevens Rd Woodbridge, VA 22191 ",1850,3,1.5,1200
"Woodbridge, VA","1905 Stevens Rd Woodbridge, VA 22191 ",1850,4,1.5,1200
"Woodbridge, VA","14701 River Walk Way Woodbridge, VA 22191 ",2120,0,1,595
"Woodbridge, VA","14701 River Walk Way Woodbridge, VA 22191 ",5143,1,2,1292
"Woodbridge, VA","14701 River Walk Way Woodbridge, VA 22191 ",5143,2,2,1292
"Woodbridge, VA","14701 River Walk Way Woodbridge, VA 22191 ",5143,3,2,1292
"Woodbridge, VA","15001 Potomac Heights Pl Woodbridge, VA 22191 ",1766,1,1,683
"Woodbridge, VA","15001 Potomac Heights Pl Woodbridge, VA 22191 ",3305,2,2,1125
"Woodbridge, VA","1400 Eisenhower Cir Woodbridge, VA 22191 ",1826,2,1,896
"Woodbridge, VA","1400 Eisenhower Cir Woodbridge, VA 22191 ",2823,3,2,1435
"Woodbridge, VA","1400 Eisenhower Cir Woodbridge, VA 22191 ",2823,4,2,1435
"Woodbridge, VA","13940 Longwood Manor Ct Woodbridge, VA 22191 ",1785,1,1,687
"Woodbridge, VA","13940 Longwood Manor Ct Woodbridge, VA 22191 ",1990,2,2,956
"Woodbridge, VA","3216 Bluff View Ct Woodbridge, VA 22192 ",1770,1,1,703
"Woodbridge, VA","3216 Bluff View Ct Woodbridge, VA 22192 ",2385,2,2,944
"Woodbridge, VA","14110 Big Crest Ln Woodbridge, VA 22191 ",1579,1,1,627
"Woodbridge, VA","14110 Big Crest Ln Woodbridge, VA 22191 ",3817,2,2,1294
"Woodbridge, VA","14110 Big Crest Ln Woodbridge, VA 22191 ",3817,3,2,1294
"Woodbridge, VA","12280 Creekview Cir Woodbridge, VA 22192 ",1593,0,1,588
