rent,rooms,bathrooms,sqft,address
"$490,000",2 beds,2 beds,"1,150","226 N Clinton St #117, Chicago, IL 60661"
"$365,000",2 beds,2 beds,—,"3127 W Palmer Blvd #2, Chicago, IL 60647"
"$395,000",2 beds,2 beds,"1,188","4745 N Ravenswood Ave #106, Chicago, IL 60640"
"$190,000",1 bed,1 bed,950,"2909 N Sheridan Rd #604, Chicago, IL 60657"
"$669,000",2 beds,2 beds,"1,500","424 W Armitage Ave Apt E, Chicago, IL 60614"
"$549,000",3 beds,3 beds,"2,100","1510 W Grand Ave Unit 1E, Chicago, IL 60642"
"$385,000",2 beds,2 beds,"1,039","933 W Van Buren St #521, Chicago, IL 60607"
"$229,000",1 bed,1 bed,—,"1307 S Wabash Ave #408, Chicago, IL 60605"
"$205,000",4 beds,4 beds,"1,100","1807 W Marquette Rd, Chicago, IL 60636"
"$435,000",2 beds,2 beds,"3,049","1530 S State St #501, Chicago, IL 60605"
"$540,000",3 beds,3 beds,"1,367","Sign in for address, Chicago, IL 60610"
"$615,000",7 beds,7 beds,"1,750","3342 S Aberdeen St, Chicago, IL 60608"
"$249,000",4 beds,4 beds,—,"6311 N Oakley Ave #1, Chicago, IL 60659"
"$205,000",2 beds,2 beds,"3,750","2446 W Berwyn Ave Unit 2S, Chicago, IL 60625"
"$315,000",1 bed,1 bed,"1,200","744 N May St #202, Chicago, IL 60642"
"$274,000",2 beds,2 beds,800,"2238 W Wilson Ave Unit 3S, Chicago, IL 60625"
"$415,000",3 beds,3 beds,650,"1435 N Rockwell St #1, Chicago, IL 60622"
"$307,500",1 bed,1 bed,"1,000","70 W Burton Pl Unit 2301F, Chicago, IL 60610"
"$1,995,000",3 beds,3 beds,"1,400","Sign in for address, Chicago, IL 60611"
"$450,000",3 beds,3 beds,—,"5427 N Oconto Ave, Chicago, IL 60656"
"$519,900",2 beds,2 beds,"3,200","312 N May St Unit 4I, Chicago, IL 60607"
"$299,000",2 beds,2 beds,"1,000","7133 W 73rd St, Chicago, IL 60638"
"$475,000",2 beds,2 beds,"1,500","600 N Kingsbury St #1411, Chicago, IL 60654"
"$765,000",3 beds,3 beds,"1,337","1870 N Oakley Ave, Chicago, IL 60647"
"$345,000",4 beds,4 beds,"6,700","9200 S Greenwood Ave, Chicago, IL 60619"
"$285,000",4 beds,4 beds,"1,160","1219 E 53rd St., Unit 2E, Chicago, IL 60615"
"$205,000",3 beds,3 beds,"2,250","1540 E 67th Pl Unit GE, Chicago, IL 60637"
"$1,024,900",3 beds,3 beds,"1,270","1400 W Monroe St Unit 3D, Chicago, IL 60607"
"$850,000",5 beds,5 beds,"1,896","3256 S Prairie Ave, Chicago, IL 60616"
"$120,000",2 beds,2 beds,"3,550","3441 W Bryn Mawr Ave Unit G-W, Chicago, IL 60659"
"$439,900",1 bed,1 bed,"1,625","909 W Washington Blvd #704, Chicago, IL 60607"
"$629,000",4 beds,4 beds,"1,700","3616 N Albany Ave, Chicago, IL 60618"
"$425,000",2 beds,2 beds,"1,843","511 W Division St #806, Chicago, IL 60610"
"$299,900",5 beds,5 beds,"3,100","12100 S Perry Ave, Chicago, IL 60628"
"$269,000",3 beds,3 beds,"2,966","Sign in for address, Chicago, IL 60620"
"$740,000",4 beds,4 beds,850,"2513 N Marshfield Ave, Chicago, IL 60614"
"$199,900",2 beds,2 beds,975,"8405 S Hamilton Ave S, Chicago, IL 60620"
"$299,900",4 beds,4 beds,—,"8451 S Essex Ave, Chicago, IL 60617"
"$270,000",2 beds,2 beds,"1,196","3560 S Giles Ave S Unit G, Chicago, IL 60653"
"$699,000",9 beds,9 beds,"2,537","5144 W Cornelia Ave, Chicago, IL 60641"
"$60,000",1 bed,1 bed,800,"7337 S South Shore Dr #408, Chicago, IL 60649"
"$950,000",11 beds,11 beds,—,"7101-05 W Foster Pl, Chicago, IL 60656"
"$225,000",4 beds,4 beds,"5,987","3041 W 5th Ave, Chicago, IL 60612"
"$250,000",3 beds,3 beds,—,"6719 S Cornell Ave Unit 3N, Chicago, IL 60649"
"$269,000",8 beds,8 beds,"4,475","2344 S Ridgeway Ave, Chicago, IL 60623"
"$299,000",3 beds,3 beds,"1,675","10231 S Rhodes Ave, Chicago, IL 60628"
"$350,000",5 beds,5 beds,—,"6117 S Natoma Ave, Chicago, IL 60638"
"$325,000",1 bed,1 bed,"1,330","14 N Sangamon St #206, Chicago, IL 60607"
"$209,000",3 beds,3 beds,"3,125","12876 S Green St, Chicago, IL 60643"
"$300,000",1 bed,1 bed,"1,674","600 S Dearborn St #201, Chicago, IL 60605"
"$289,900",3 beds,3 beds,"3,750","2828 W 84th Pl, Chicago, IL 60652"
"$380,000",5 beds,5 beds,—,"7322 S Kingston Ave, Chicago, IL 60649"
"$659,000",3 beds,3 beds,"1,008","200 E Delaware Pl Unit 7F, Chicago, IL 60611"
"$249,000",3 beds,3 beds,"3,689","9220 S Laflin St, Chicago, IL 60620"
"$270,000",3 beds,3 beds,"1,214","10548 S Eberhart Ave, Chicago, IL 60628"
"$549,500",4 beds,4 beds,"1,226","3805 N Kimball Ave, Chicago, IL 60618"
"$129,900",6 beds,6 beds,"4,800","7159 S Winchester Ave, Chicago, IL 60636"
"$279,000",3 beds,3 beds,"3,869","2226 W Monroe St #1, Chicago, IL 60612"
"$310,000",3 beds,3 beds,"5,106","3651 W 55th Pl, Chicago, IL 60629"
"$485,000",2 beds,2 beds,"1,550","2533 N Halsted St Unit 1N, Chicago, IL 60614"
"$719,000",5 beds,5 beds,"1,486","6332 S Evans Ave, Chicago, IL 60637"
"$199,900",2 beds,2 beds,"1,650","7516 N Damen Ave #2, Chicago, IL 60645"
"$320,000",5 beds,5 beds,"3,789","4930 S Maplewood Ave, Chicago, IL 60632"
"$875,000",3 beds,3 beds,"1,300","2331 N Leavitt St #1, Chicago, IL 60647"
"$247,000",4 beds,4 beds,"4,338","9622 S Avalon Ave, Chicago, IL 60628"
"$178,500",4 beds,4 beds,—,"2864 W 85th St, Chicago, IL 60652"
"$245,000",4 beds,4 beds,—,"4505 S Union Ave, Chicago, IL 60609"
"$725,000",3 beds,3 beds,900,"2957 W Cornelia Ave #1, Chicago, IL 60618"
"$149,400",2 beds,2 beds,"1,250","5203 S Calumet Ave Unit 1D, Chicago, IL 60615"
"$149,900",3 beds,3 beds,"3,800","13934 S Manistee Ave, Burnham, IL 60633"
"$699,900",4 beds,4 beds,"3,750","5015 N Mobile Ave, Chicago, IL 60630"
"$1,950,000",9 beds,9 beds,"1,350","4730 W Grace St, Chicago, IL 60641"
"$179,000",3 beds,3 beds,"1,800","208 E 87th St, Chicago, IL 60619"
"$359,900",2 beds,2 beds,"2,400","5 E 14th Pl #1606, Chicago, IL 60605"
"$405,000",5 beds,5 beds,"1,651","411 E 60th St, Chicago, IL 60637"
"$175,000",7 beds,7 beds,"4,678","6352 S Campbell Ave, Chicago, IL 60629"
"$389,000",4 beds,4 beds,"1,158","4443 S Indiana Ave Unit 1S, Chicago, IL 60653"
"$799,000",8 beds,8 beds,"4,440","4431 N Central Park Ave, Chicago, IL 60625"
"$545,000",5 beds,5 beds,"1,344","3105 N Major Ave, Chicago, IL 60634"
"$950,000",5 beds,5 beds,"6,250","2756 W Chicago Ave, Chicago, IL 60622"
"$575,000",4 beds,4 beds,"2,935","7538 W Foster Ave, Chicago, IL 60656"
"$788,000",2 beds,2 beds,—,"1343 W Cornelia Ave #3, Chicago, IL 60657"
"$350,000",6 beds,6 beds,—,"1621 S Harding Ave, Chicago, IL 60623"
"$189,900",1 bed,1 bed,800,"5415 N Sheridan Rd #2705, Chicago, IL 60640"
"$979,900",11 beds,11 beds,—,"2751 W Haddon Ave, Chicago, IL 60622"
"$1,600,000",16 beds,16 beds,"3,000","3913 N Central Ave, Chicago, IL 60634"
"$325,000",1 bed,1 bed,—,"512 N Mcclurg Ct #2006, Chicago, IL 60611"
"$579,000",6 beds,6 beds,"7,126","6150 W Patterson Ave, Chicago, IL 60634"
"$549,900",11 beds,11 beds,965,"5954 W Wrightwood Ave, Chicago, IL 60639"
"$259,000",3 beds,3 beds,"2,291","3046 W 54th Pl, Chicago, IL 60632"
"$269,900",4 beds,4 beds,"4,138","7219 S Ellis Ave, Chicago, IL 60620"
"$159,800",10 beds,10 beds,—,"1659 W 69th St, Chicago, IL 60636"
"$199,900",1 bed,1 bed,"3,920","5415 N Sheridan Rd #3514, Chicago, IL 60640"
"$159,900",6 beds,6 beds,"1,200","5840 S Artesian Ave, Chicago, IL 60629"
"$499,900",5 beds,5 beds,"3,125","5137 W Waveland Ave, Chicago, IL 60641"
"$125,000",1 bed,1 bed,"1,888","200 Ridge Ave Unit 1E, Evanston, IL 60202"
"$196,999",3 beds,3 beds,"3,750","7223 S Peoria St, Chicago, IL 60621"
"$50,000",3 beds,3 beds,—,"5730 S Elizabeth St, Chicago, IL 60636"
"$100,000",1 bed,1 bed,"4,284","1538 N Rockwell St Unit 1F, Chicago, IL 60622"
"$295,000",2 beds,2 beds,700,"5832 S Stony Island Ave Unit 9B, Chicago, IL 60637"
"$325,000",4 beds,4 beds,"1,149","12158 S Union Ave, Chicago, IL 60628"
